time,dz
13568,-0.0048698
13573,-0.00487683
13577,-0.00488231
13582,-0.00488899
13586,-0.00489419
13591,-0.00490053
13595,-0.00490545
13600,-0.00491144
13605,-0.00491723
13609,-0.00492172
13614,-0.00492716
13618,-0.00493137
13623,-0.00493646
13627,-0.00494039
13632,-0.00494513
13636,-0.00494878
13641,-0.00495317
13645,-0.00495654
13650,-0.00496057
13654,-0.00496366
13659,-0.00496734
13664,-0.00497083
13668,-0.00497348
13673,-0.00497661
13677,-0.00497898
13682,-0.00498176
13686,-0.00498384
13691,-0.00498626
13695,-0.00498806
13700,-0.00499013
13704,-0.00499165
13709,-0.00499337
13713,-0.0049946
13717,-0.0049957
13722,-0.00499691
13726,-0.00499773
13730,-0.00499842
13735,-0.00499911
13739,-0.00499952
13743,-0.00499981
13747,-0.00499996
13752,-0.00499998
13756,-0.00499986
13760,-0.00499961
13764,-0.00499923
13769,-0.00499857
13773,-0.00499791
13777,-0.00499712
13782,-0.00499596
13786,-0.00499488
13790,-0.00499368
13795,-0.00499201
13799,-0.00499052
13803,-0.00498891
13807,-0.00498718
13812,-0.00498483
13816,-0.00498281
13821,-0.00498011
13825,-0.00497781
13830,-0.00497476
13835,-0.0049715
13839,-0.00496876
13844,-0.00496516
13848,-0.00496213
13853,-0.00495818
13857,-0.00495487
13862,-0.00495056
13866,-0.00494697
13871,-0.00494231
13875,-0.00493844
13879,-0.00493445
13884,-0.00492928
13888,-0.00492501
13893,-0.00491949
13897,-0.00491493
13902,-0.00490907
13906,-0.00490423
13911,-0.00489802
13915,-0.0048929
13920,-0.00488634
13924,-0.00488095
13929,-0.00487404
13933,-0.00486837
13937,-0.00486258
13942,-0.00485517
13946,-0.0048491
13950,-0.00484292
13955,-0.00483501
13959,-0.00482854
13963,-0.00482196
13968,-0.00481355
13972,-0.00480669
13976,-0.00479971
13980,-0.00479261
13985,-0.00478356
13989,-0.00477619
13993,-0.00476869
13998,-0.00475915
14002,-0.00475138
14007,-0.00474151
14011,-0.00473347
14016,-0.00472326
14020,-0.00471495
14025,-0.0047044
14029,-0.00469583
14034,-0.00468495
14038,-0.00467611
14043,-0.00466489
14047,-0.00465579
14052,-0.00464424
14056,-0.00463487
14061,-0.004623
14066,-0.00461094
14070,-0.00460116
14075,-0.00458877
14079,-0.00457873
14084,-0.00456602
14088,-0.00455572
14093,-0.00454269
14098,-0.00452947
14102,-0.00451877
14107,-0.00450523
14111,-0.00449428
14116,-0.00448042
14120,-0.00446921
14125,-0.00445503
14129,-0.00444357
14134,-0.00442908
14138,-0.00441736
14142,-0.00440553
14147,-0.00439058
14151,-0.0043785
14155,-0.00436631
14160,-0.00435092
14164,-0.00433848
14168,-0.00432593
14172,-0.00431327
14177,-0.0042973
14181,-0.0042844
14185,-0.00427139
14190,-0.00425497
14194,-0.00424172
14199,-0.004225
14203,-0.00421151
14208,-0.00419449
14212,-0.00418076
14217,-0.00416345
14221,-0.00414948
14226,-0.00413187
14231,-0.0041141
14235,-0.00409976
14240,-0.0040817
14244,-0.00406713
14249,-0.00404877
14253,-0.00403398
14258,-0.00401534
14262,-0.00400031
14267,-0.00398138
14271,-0.00396613
14276,-0.00394692
14281,-0.00392756
14285,-0.00391195
14290,-0.00389231
14294,-0.00387649
14299,-0.00385657
14303,-0.00384052
14308,-0.00382033
14313,-0.00379999
14317,-0.00378361
14322,-0.00376299
14326,-0.0037464
14331,-0.00372552
14335,-0.00370871
14339,-0.00369181
14344,-0.00367055
14348,-0.00365343
14352,-0.00363623
14357,-0.00361459
14361,-0.00359718
14365,-0.00357968
14369,-0.00356209
14374,-0.00353997
14378,-0.00352218
14382,-0.0035043
14386,-0.00348633
14391,-0.00346374
14395,-0.00344557
14400,-0.00342274
14404,-0.00340437
14409,-0.0033813
14413,-0.00336274
14418,-0.00333942
14423,-0.00331598
14427,-0.00329712
14432,-0.00327344
14436,-0.0032544
14441,-0.00323049
14445,-0.00321126
14450,-0.00318712
14454,-0.00316771
14459,-0.00314335
14463,-0.00312376
14468,-0.00309917
14472,-0.00307941
14477,-0.0030546
14482,-0.00302966
14486,-0.00300963
14491,-0.00298449
14495,-0.00296428
14500,-0.00293893
14504,-0.00291856
14509,-0.00289299
14513,-0.00287246
14518,-0.00284668
14522,-0.00282599
14527,-0.00280001
14531,-0.00277916
14536,-0.00275299
14540,-0.00273197
14545,-0.00270561
14549,-0.00268444
14553,-0.0026632
14558,-0.00263656
14562,-0.00261517
14566,-0.00259372
14570,-0.0025722
14575,-0.00254521
14579,-0.00252354
14583,-0.00250181
14587,-0.00248002
14592,-0.00245269
14596,-0.00243076
14600,-0.00240877
14604,-0.00238671
14609,-0.00235906
14613,-0.00233687
14617,-0.00231462
14621,-0.00229232
14626,-0.00226435
14630,-0.00224192
14635,-0.00221379
14639,-0.00219123
14644,-0.00216295
14648,-0.00214026
14653,-0.00211183
14657,-0.00208902
14662,-0.00206043
14666,-0.00203751
14671,-0.00200878
14675,-0.00198574
14680,-0.00195687
14684,-0.00193372
14689,-0.00190471
14693,-0.00188144
14698,-0.0018523
14702,-0.00182893
14707,-0.00179966
14711,-0.00177619
14716,-0.00174679
14720,-0.00172321
14725,-0.00169369
14729,-0.00167002
14734,-0.00164038
